datetime,sentiment_score
2025-04-30 09:29:00,0.9875
2025-04-30 10:00:00,0.6738
2025-04-30 10:00:00,0.8788
2025-04-30 10:12:00,0.9982
2025-04-30 10:45:27,0.989
2025-04-30 10:56:07,0.9306
2025-04-30 11:00:27,0.9781
2025-04-30 11:30:00,0.9974
2025-04-30 11:37:46,0.9611
2025-04-30 11:40:00,0.0
2025-04-30 11:45:00,0.9986
2025-04-30 12:03:21,0.9872
2025-04-30 12:15:00,0.4767
2025-04-30 12:27:00,0.4215
2025-04-30 12:44:30,0.5187
2025-04-30 12:45:21,0.9868
2025-04-30 12:47:00,0.872
2025-04-30 12:50:37,0.7964
2025-04-30 13:08:07,0.9809
2025-04-30 13:15:59,0.9081
2025-04-30 13:43:00,0.9964
2025-04-30 13:59:09,0.7527
2025-04-30 14:19:14,0.8573
2025-04-30 15:50:44,0.9638
2025-04-30 16:11:24,0.3903
2025-04-30 16:36:45,-0.743
2025-04-30 17:11:26,0.9754
2025-04-30 18:23:02,0.8885
2025-04-30 18:25:24,0.9577
2025-04-30 19:06:03,0.8221
2025-04-30 19:21:53,0.8081
2025-04-30 19:31:26,0.9428
2025-04-30 19:40:00,-0.1128
2025-04-30 19:49:22,0.9319
2025-04-30 19:55:46,0.0
2025-04-30 19:56:00,0.4601
2025-04-30 19:57:53,0.9485
2025-04-30 20:10:00,0.9925
2025-04-30 20:19:39,0.9965
2025-04-30 20:20:06,0.5994
2025-04-30 20:21:41,0.92
2025-04-30 20:34:57,0.8074
2025-04-30 20:54:25,0.9274
2025-04-30 21:00:00,0.0
2025-04-30 21:04:57,0.9726
2025-04-30 21:05:13,-0.5719
2025-04-30 21:13:32,0.9943
2025-04-30 21:29:58,0.9423
2025-04-30 21:45:25,0.9881
2025-04-30 22:10:00,-0.4019
2025-04-30 22:35:21,0.9545
2025-04-30 22:44:00,0.0
2025-04-30 22:52:59,0.9942
2025-04-30 23:10:24,0.9798
2025-04-30 23:40:39,-0.2446
2025-04-30 23:45:10,0.9806
2025-05-01 00:22:08,0.906
2025-05-01 03:36:17,0.9916
2025-05-01 05:54:37,0.999
2025-05-01 06:05:00,0.9944
2025-05-01 06:22:57,0.9984
2025-05-01 07:16:59,0.999
2025-05-01 07:17:00,0.9987
2025-05-01 07:17:00,0.9989
2025-05-01 07:17:00,0.9988
2025-05-01 07:17:00,0.9989
2025-05-01 07:45:00,0.9966
2025-05-01 07:53:00,0.0
2025-05-01 07:54:48,0.9981
2025-05-01 07:54:49,0.9988
2025-05-01 07:54:51,0.9992
2025-05-01 07:54:51,0.999
2025-05-01 08:23:00,0.9959
2025-05-01 08:40:00,0.9881
2025-05-01 08:42:53,0.9987
2025-05-01 08:43:00,0.999
2025-05-01 08:50:00,0.995
2025-05-01 09:00:00,0.9921
2025-05-01 09:00:00,-0.1579
2025-05-01 09:15:02,0.0
2025-05-01 09:31:00,0.9963
2025-05-01 09:37:16,0.0
2025-05-01 09:58:03,0.9118
2025-05-01 10:12:46,0.0
2025-05-01 11:00:00,0.9975
2025-05-01 11:10:22,0.8689
2025-05-01 11:16:11,0.6187
2025-05-01 11:21:00,0.0
2025-05-01 11:45:00,0.9976
2025-05-01 11:45:00,0.9513
2025-05-01 12:01:38,0.9953
2025-05-01 12:28:06,0.0
2025-05-01 12:28:26,0.0
2025-05-01 12:39:20,0.765
2025-05-01 12:43:24,0.0
2025-05-01 12:44:26,0.9812
2025-05-01 13:07:10,0.0
2025-05-01 13:48:22,0.9925
2025-05-01 14:02:57,0.8985
2025-05-01 14:09:04,0.2144
2025-05-01 14:15:40,0.9877
2025-05-01 14:17:42,0.9118
2025-05-01 14:19:46,0.7391
2025-05-01 15:13:35,0.765
2025-05-01 15:31:50,0.0
2025-05-01 15:39:22,0.8957
2025-05-01 15:39:58,0.9546
2025-05-01 15:44:26,0.0
2025-05-01 15:55:30,-0.9782
2025-05-01 16:06:46,0.9769
2025-05-01 16:09:36,0.9791
2025-05-01 16:10:21,0.9828
2025-05-01 16:11:00,0.0
2025-05-01 16:21:59,0.0
2025-05-01 16:37:00,0.0
2025-05-01 16:40:15,0.9836
2025-05-01 16:49:17,0.98
2025-05-01 17:23:22,0.9959
2025-05-01 17:24:16,0.0
2025-05-01 17:27:00,0.9903
2025-05-01 17:27:43,0.0
2025-05-01 17:29:48,0.0
2025-05-01 17:30:47,0.0
2025-05-01 17:34:42,0.0
2025-05-01 17:46:40,0.0
2025-05-01 17:49:52,0.9995
2025-05-01 18:06:59,0.9808
2025-05-01 18:08:15,0.926
2025-05-01 19:53:49,-0.0772
2025-05-01 20:05:01,0.0
2025-05-01 20:06:16,0.0
2025-05-01 20:29:08,0.9958
